dbname,id
"KNIGHT, WILLIAM J. \PETE\""""",1
Adam Shbeita,2
"HILL, JERRY A.",3
"ACOSTA, GEORGIA L.",4
"GUILLEN, ABEL",5
Mario A. Guerra,6
"STOKER, MIKE",7
"PARRA, PETE H.",8
"RUNNER, GEORGE C.",9
Michael Breyer,10
"COLEMAN, TERRY",11
"HILL, STEVE",12
"KISHIMOTO, YORIKO",13
"JONES, SUZANNE V.",14
"HANSON, MARK",15
Alvaro G. Day,16
Earl De Vries,17
Michelle P. Connor,18
Brian Jones,19
"KALB, DAN E.",20
"YAMADA, MARIKO",21
"MANSOOR, ALLAN R.",22
Jerry White,23
"WHITE, KEN",24
"SIMON JR., WILLIAM E.",25
Ronald Gold,26
John S. Stammreich,27
Donald P. (Don) Wagner*,28
Jose Medina*,29
"GARDNER, DEAN",30
"PRICE, CURREN",31
Edward Fuller,32
"ARABO, AUDAY P.",33
Michael J. Rubio,34
"MARTINEZ, MICHELE",35
Brian Dahle,36
"STEEL, JOHN",37
"KING, DAVID",38
Devin G. Nunes,39
"FITZGERALD, JIM",40
Xavier Becerra*,41
"ROELLE, RICK",42
"HAUBERT, DAVID",43
Donald P. (Don) Wagner,28
Sukhee Kang,44
"ASHBURN, ROY",45
"GARLAND, CHRIS",46
Pete Aguilar,47
"WALTERS, MIMI",48
"SHOEMAKER, BRANDON",49
"MUSSER-LOPEZ, RUTH",50
"BACA, JOE",51
"GONZALES, JUAN LUIS",52
"LA CHANCE, IRENE",53
"MC CANN, JOHN",54
Holly Spohn-Gross,55
"HARRISON, MICHAEL",56
"TORRICO, ALBERTO",57
Tom Lackey,58
"AMADOR, ANTONIO (TONY)",59
Michael D. Antonovich,60
"TYE, STEVE",61
David Sanchez,62
"HERNANDEZ, ROGER",63
Jeff Denham*,64
Mary Catherine McIlroy,65
"BONTA, ROB",66
Robin Chew,67
"DIEP, TYLER",68
"CARTER, WILMER AMINA",69
"MORRIS, GWEN L",70
"WEST, TONY",71
Alex Padilla*,72
"LOWE, DONNA",73
"SHELLEY, KEVIN",74
Cheryl R. Brown*,75
"PAULY, DEBORAH",76
"CHAVEZ, CHRISTINA",77
Virginia Fuller,78
Karalee Hargrove,79
"TABASH, EDWARD Z.",80
"CORBETT, ELLEN",81
