"DATE"	"RECIPIENT"	"CONTEST"	"POSITION"	"PAYMENT TYPE"	"AMOUNT"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$68,500.00"
"04/23/2018"	"CALIFORNIA DEMOCRATIC PARTY"	" "	"SUPPORT"	"MONETARY"	"$50,000.00"
"05/15/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$29,240.51"
"05/15/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$23,323.84"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$22,437.11"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$20,000.00"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$18,594.28"
"05/15/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$18,422.32"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$15,000.00"
"04/02/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$15,000.00"
"05/15/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$15,000.00"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$13,047.24"
"04/02/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$12,500.00"
"04/02/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$10,000.00"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$8,531.51"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$6,656.04"
"05/15/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$5,187.00"
"05/15/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$5,175.00"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$5,097.50"
"03/06/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$5,000.00"
"05/15/2018"	"SB1"	"Repeal Transportation Revenues (17-0033) "	"OPPOSE"	"IND"	"$5,000.00"
