TargetCandidateName,TargetCandidateOffice,TargetPropositionName,ExpenderPosition,ExpenderName,ExpenderID,Amount,ExpenditureDscr,PayeeName,DateStart,DateEnd,DateRange
"",,Prop 10 - EXPANDS LOCAL GOVERNMENTS’ AUTHORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE.,S,SAN FRANCISCO LABOR & NEIGHBOR MEMBER EDUCATION./POLITICAL ISSUES COMMITTEE,1070473,231.17,CAMPAIGN COORDINATOR PAYROLL 11/1-11/05,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"",,Prop 10 - EXPANDS LOCAL GOVERNMENTS’ AUTHORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE.,S,SAN FRANCISCO LABOR & NEIGHBOR MEMBER EDUCATION./POLITICAL ISSUES COMMITTEE,1070473,400.0,DATA & TECH ELECTORIAL SERVICES NOV 1-6,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"",,Prop 10 - EXPANDS LOCAL GOVERNMENTS’ AUTHORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE.,S,SAN FRANCISCO LABOR & NEIGHBOR MEMBER EDUCATION./POLITICAL ISSUES COMMITTEE,1070473,409.86,PHONE DATA - DIALER NOV 1-6,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,688.89,WEB,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"Newsom, Gavin",Governor,,O,Californians For Accountability,1400650,13720.0,Staffing for Truck Campaign,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,674.77,WEB,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"Thurmond, Tony",Superintendent of Public Instruction,,S,California Democratic Party,1018392,120000.0,media buy,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"Rubio, Susan",State Senate,,S,Cooperative of American Physicians Independent Expenditure Committee,1070126,3500.0,EMAIL BLASTS,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,619.87,WEB,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"",,Prop 8 - REGULATES AMOUNTS OUTPATIENT KIDNEY DIALYSIS CLINICS CHARGE FOR DIALYSIS TREATMENT. INITIATIVE STATUTE.,O,"National Kidney Foundation, Inc.",1412850,724.61,WEB,,2018-11-06T00:00:00Z,2018-11-06T00:00:00Z,2018-11-06
"Lustro, Steve",City Council,,S,POMONA POLICE OFFICERS ASSOCIATION PAC,1243790,26.87,"FACEBOOK AD (CUMULATIVE TO DATE: $2,910.21)",,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Newsom, Gavin",Governor,,O,Californians For Accountability,1400650,10000.0,Statewide following campaign,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,259.41,WEB,,2018-11-05T00:00:00Z,2018-11-05T00:00:00Z,2018-11-05
