TargetCandidateName,TargetCandidateOffice,TargetPropositionName,ExpenderPosition,ExpenderName,ExpenderID,Amount,ExpenditureDscr,PayeeName,DateStart,DateEnd,DateRange
"Wiener, Scott",State Senate,,S,Progress San Francisco,1381519,7714.17,Mailer (Estimated Costs),,2016-05-27T00:00:00Z,2016-05-27T00:00:00Z,2016-05-27
"Chiu, David",State Assembly,,S,Progress San Francisco,1381519,3161.25,Mailers (Estimated Costs),,2016-05-27T00:00:00Z,2016-05-27T00:00:00Z,2016-05-27
"Ting, Phil",State Assembly,,S,Progress San Francisco,1381519,1981.55,Mailer (Estimated Costs),,2016-05-27T00:00:00Z,2016-05-27T00:00:00Z,2016-05-27
"Wiener, Scott",State Senate,,S,Progress San Francisco,1381519,7714.19,Mailer (Estimated Cost),,2016-05-23T00:00:00Z,2016-05-23T00:00:00Z,2016-05-23
"Chiu, David",State Assembly,,S,Progress San Francisco,1381519,3161.24,Mailer (Estimated Cost),,2016-05-23T00:00:00Z,2016-05-23T00:00:00Z,2016-05-23
"Ting, Phil",State Assembly,,S,Progress San Francisco,1381519,1981.54,Mailer (Estimated Cost),,2016-05-23T00:00:00Z,2016-05-23T00:00:00Z,2016-05-23
"Ting, Phil",State Assembly,,S,Progress San Francisco,1381519,1577.0,Mailer (Estimated Costs),,2016-05-18T00:00:00Z,2016-05-18T00:00:00Z,2016-05-18
"Chiu, David",State Assembly,,S,Progress San Francisco,1381519,2573.0,Mailer (Estimated Costs),,2016-05-18T00:00:00Z,2016-05-18T00:00:00Z,2016-05-18
"Wiener, Scott",State Senate,,S,Progress San Francisco,1381519,7262.5,Mailer (Estimated Costs),,2016-05-18T00:00:00Z,2016-05-18T00:00:00Z,2016-05-18
"Ting, Phil",State Assembly,,S,Progress San Francisco,1381519,802.96,Mailer (Estimated Costs),,2016-04-27T00:00:00Z,2016-04-27T00:00:00Z,2016-04-27
"Wiener, Scott",State Senate,,S,Progress San Francisco,1381519,3032.09,Mailer (Estimated Costs),,2016-04-27T00:00:00Z,2016-04-27T00:00:00Z,2016-04-27
"Chiu, David",State Assembly,,S,Progress San Francisco,1381519,1218.43,Mailer (Estimated Costs),,2016-04-27T00:00:00Z,2016-04-27T00:00:00Z,2016-04-27
